order,species,specimen no.,fCr-Ca,fM-L,fCIRC,tbCr-Ca,tbM-L,tbCIRC
Galliformes,Alectura lathami,B19298,9.2,9,28.06,,,24.24
Galliformes,Alectura lathami,B23648,9.89,9.29,30.9,6.43,7.99,22.95
Galliformes,Alectura lathami,B23649,9.05,8.53,29.07,5.64,7.2,20.88
Galliformes,Alectura lathami,B46568,9.36,9.34,30.81,5.95,7.37,22.15
Galliformes,Alectura lathami,R4288,9.27,8.82,29.71,6.73,7.64,22.86
Anseriformes,Anhima cornuta,B12574,10.04,10.66,34.22,7.95,8.77,27.3
Galliformes,Leipoa ocellata,B9057,7.73,8.17,25.85,5.61,6.75,20.59
Galliformes,Leipoa ocellata,B20194,8.87,9.03,28.58,6.22,7.85,22.19
Galliformes,Leipoa ocellata,B34172,9.74,8.63,29.82,6.16,7.28,21.49
Galliformes,Leipoa ocellata,B55458,8.7,8.17,27.13,6.32,7.16,21.88
Galliformes,Leipoa ocellata,B34887.1,9.44,8.85,29.13,6.47,6.96,21.95
Anseriformes,Anseranas semipalmata,B8865,7.1,6.66,22.3,5.85,7.02,21.83
Anseriformes,Anseranas semipalmata,B18366,8.02,7.49,24.94,,,
Anseriformes,Anseranas semipalmata,B20343,7.42,6.4,21.71,6.47,6.52,19.61
Anseriformes,Anseranas semipalmata,B48035,9.05,7.45,26.09,6.53,7.75,23.35
Anseriformes,Anseranas semipalmata,B34094,7.8,7.84,25.34,6.45,7.44,22.35
Anseriformes,Cereopsis novaehollandiae,B5124,8.52,9.06,29.03,7.75,8.91,26.01
Anseriformes,Cereopsis novaehollandiae,B11392,8.91,9.78,31.35,,,
Anseriformes,Cereopsis novaehollandiae,B25672,9.93,10.47,33.19,7.47,9.37,26.58
Anseriformes,Cereopsis novaehollandiae,B39638,8.72,9.09,30.33,7.19,9.49,27.6
Anseriformes,Cereopsis novaehollandiae,B22238,10.23,10.68,35.49,8.05,9.57,28.22
Casuariiformes,Casuarius casuarius,B12097,27.92,28.05,92.7,23.3,27.5,80.31
Casuariiformes,Casuarius casuarius,B13452,29.44,29.07,96.67,26.89,30.1,91.37
Casuariiformes,Casuarius casuarius,FUR180,29.38,28.25,91.08,22.53,26.99,83.94
Struthioniformes,Struthio camelus,B13315,40.87,49.75,150.14,31.48,32.9,103.1
Struthioniformes,Struthio camelus,B14264,40.01,43.42,138.78,30.98,32.1,98.95
Struthioniformes,Struthio camelus,B34253,49.64,43.33,146.34,28.53,33.47,100.55
Struthioniformes,Struthio camelus,R2711,49.23,39.91,139.03,38.6,31.77,101.38
Casuariiformes,Dromaius novaehollandiae,B12822,27.94,25,85.06,19.75,22.83,69.26
Casuariiformes,Dromaius novaehollandiae,B19058,33.24,31.24,104.02,23.9,25.69,80.21
Casuariiformes,Dromaius novaehollandiae,B31685,27.2,29.08,94.46,19.71,23.13,70.39
Casuariiformes,Dromaius novaehollandiae,FUR163,26.33,27.21,84.83,18.57,22.74,67.47
Casuariiformes,Dromaius novaehollandiae,R4240,29.4,28.88,93.52,21.86,24.47,75.32
Dromornithidae,Genyornis newtoni,FU2763,50.81,67.78,194.2,42.41,48.84,141.35
Dromornithidae,Genyornis newtoni,SAMAP53833,60.89,83.6,228.3,39.94,47.73,140.14
Dromornithidae,Genyornis newtoni,SAMAP59517,51.83,69.24,195.21,36.46,49.32,142.04
Dromornithidae,Genyornis newtoni,SAMAP59519,30.15,81.04,216.72,43.21,52.66,154.96
